batch,total_distance_km,total_duration_min,map_link
1,2.4,12.0,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5171675,-0.1043089/51.5151206,-0.0795008/51.5161213,-0.0787609/51.5199204,-0.0889247/51.523712,-0.0835602"
2,4.25,21.26,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5205936,-0.1061162/51.5130984,-0.0781733/51.512868,-0.0905883/51.5250318,-0.091296/51.5171184,-0.0954533"
3,6.03,30.14,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5220558,-0.1057491/51.5127537,-0.0949802/51.510737,-0.0941077/51.524282,-0.0961398/51.53286,-0.0803228"
4,8.6,29.95,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5199524,-0.1085864/51.511107,-0.0972023/51.5249305,-0.0992686/51.5156161,-0.1058663/51.5145406,-0.1062628"
5,13.04,31.29,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5232236,-0.108454/51.5432616511,-0.0907569626/51.5452857,-0.0773413/51.546399,-0.0862709/51.5505333,-0.0972817"
6,21.11,45.96,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5824345,-0.0638639/51.535984,-0.123891/51.5566692,-0.1063449/51.547105,-0.12073/51.5723794,-0.0803811"
7,32.08,52.03,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.6065527,-0.0557492/51.5727527,-0.0879671/51.5728415,-0.1223528/51.580391,-0.1226804/51.5756127,-0.1575129"
