batch,total_distance_km,total_duration_min,map_link
1,3.31,6.63,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5171675,-0.1043089/51.5199204,-0.0889247/51.5161213,-0.0787609/51.5151206,-0.0795008/51.523712,-0.0835602"
2,4.76,9.53,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5205936,-0.1061162/51.5130984,-0.0781733/51.512868,-0.0905883/51.5171184,-0.0954533/51.5250318,-0.091296"
3,5.99,11.97,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5220558,-0.1057491/51.5127537,-0.0949802/51.524282,-0.0961398/51.510737,-0.0941077/51.511107,-0.0972023"
4,7.86,15.73,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5199524,-0.1085864/51.5249305,-0.0992686/51.5156161,-0.1058663/51.5145406,-0.1062628/51.53286,-0.0803228"
5,14.23,28.45,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5232236,-0.108454/51.5432616511,-0.0907569626/51.5452857,-0.0773413/51.546399,-0.0862709/51.535984,-0.123891"
6,25.68,51.37,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5824345,-0.0638639/51.5505333,-0.0972817/51.547105,-0.12073/51.5566692,-0.1063449/51.5723794,-0.0803811"
7,38.32,76.64,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.6065527,-0.0557492/51.5727527,-0.0879671/51.5728415,-0.1223528/51.580391,-0.1226804/51.5756127,-0.1575129"
